Compte;libellé;sens;Numéro Agence SCE
162230000000;FOND D'AFFECTAT° DE FINANCEMT ETUDE NON DEFINIT.AC;CREDIT;9
162240000000;FOND D'AFFECTAT° DE FINAN PARTICIP NON DEFINIT.AC;CREDIT;9
162250000000;AUTRES FONDS D'AFFECTATION NON DEINITIV.ACQUIS;CREDIT;9
1625________;AUTRES FONDS D' AFFECTATION;DEBIT;9
162500000000;AUTRES FONDS D'AFFECTATION;CREDIT;9
163_________;FONDS DE GARANTIE MUTUELS;CREDIT;9
163100000000;CLIENTS FONDS DE GARANTIE MUTUELS;CREDIT;9
163200000000;FOND DE SOLIDARITE MUTUEL EMPRENTEUR;CREDIT;9
18__________;AUTRES RESSOURCES PERMAN;Cédit;9
186_________;AUTRES EMPRUNTS A L.T;CREDIT;NULL
186100000000;AUT. EMP. L.T AUPRES DES CORRESP;CREDIT;9
186200000000;AUT. EMP. L.T AUPRES D'AUT. CORRESP;CREDIT;9
187_________;AUTRES EMPRUNT A MOYEN TERME;Crédit;9
1871________;Autres emprunts à MT auprès des corresp.;Crédit;9
187100000000;AUT.EMP.M.T AUPRES DES CORRESP;CREDIT;9
187110000000;AUT. EMP. A M.T AUPRES DE AFB;CREDIT;9
187120000000;AUT. EMP. A M.T AUPRES DE LA BICEC;CREDIT;9
187130000000;AUT. EMP. A M.T AUPRES DE LA CBC;CREDIT;9
187170000000;AUT.EMP.A M.T AUPRES DE LA BGFI;MIXTE;9
1872________;Autres emprunts à MT auprès d'autres prê;Crédit;9
187200000000;AUT.EMP.M.T/AUTRE PRETEUR;CREDIT;9
187300000000;EMPRUNT A M.T SGBC;CREDIT;9
187400000000;EMPRUNT A MT SCB CLC;CREDIT;9
187410000000;ECHEANCE -1 MOIS;CREDIT;9
187420000000;ECHEANCES - 3 MOIS;CREDIT;9
187430000000;ECHEANCES - 6 MOIS;CREDIT;9
187440000000;ECHEANCES - 12 MOIS;CREDIT;9
187450000000;ECHEANCES - 5 ANS;CREDIT;9
187800000000;EMPRUNT A M .T C.B.C;CREDIT;9
187900000000;ECHEANCE- 1 MOIS;CREDIT;9
187930000000;ECHEANCES -3 MOIS;CREDIT;9
187960000000;ECHEANCES -6MOIS;CREDIT;9
187970000000;ECHEANCES -12 MOIS;CREDIT;9
188410000000;GARANTIE CAISSE;CREDIT;9
188420000000;4343;CREDIT;9
189_________;DETTES RATTACHEES;Crédit;9
189100000000;DETTES  RATTACHEES;CREDIT;9
189110000000;DETTES RATTACHEES/EMPRUNTS ALLIANZ;CREDIT;9
189120000000;DETTES RATTACHEES/DAT EXPRESS UNION;CREDIT;9
189130000000;DETTES RATTACHEES/DAT MR KADER;CREDIT;9
189140000000;DETTES RATTACHEES/DAT MR KOUINCHE;CREDIT;9
189610000000;DETTE RAT./E.L.T AUPRES DES CORRESP;CREDIT;9
189620000000;DETTE RAT/E.L.T AUPRES D'AUT. PRETEURS;CREDIT;9
189711000000;DETTE RAT/E.M.T AUPRES DE AFB;CREDIT;9
189712000000;DETTE RAT/E.M.T AUPRES DE LA BICEC;CREDIT;9
189713000000;DETTE RAT/E.M.T AUPRES DE LA CBC;CREDIT;9
189716000000;DETTE RAT./E.M.T AUPRES DE BGFI;MIXTE;9
189718000000;DETTE RATT/E.M.T AUPRES I.F.C.;CREDIT;NULL
189720000000;DETTE RAT/E.M.T AUPRES D'AUT. PRETEURS;CREDIT;9
19__________;PROVISIONS POUR RISQUES ET CHARGES;Crédit;9
191_________;PROVISIONS  RISQUES BANCAIRES GENERAUX;Crédit;9
191100000000;PROVISION POUR RISQUES OU LITIGES;CREDIT;9
191200000000;AUTRES PROV POUR RISQUE OU LIITIGES;CREDIT;9
192_________;PROV/AUTRES RISQUES GENER;Crédit;9
192100000000;PROV .POUR AUT.RISQ.GRAUX;CREDIT;9
193_________;PROVISIONS POUR CHARGES;Crédit;9
1931________;PROVISIONS POUR LITIGES EN COURS;Crédit;9
193100000000;PROV.POUR LITIGES EN COURS;CREDIT;9
193200000000;PROV. POUR PERTES SUR MARCHES A TERME;CREDIT;9
193300000000;PROV. POUR PERTES DE CHANGE;CREDIT;9
193410000000;PRO. ENG. DONNES/ORDRE DES CORRESP;CREDIT;9
193420000000;PROV. ENG. DONNES/ORDRE CLIENTELE;CREDIT;9
193500000000;PRO. DE PROPRE ASSUREUR;CREDIT;9
1936________;Porvisions pour Grosses réparations;Crédit;9
193600000000;PROV.POUR GROSSES REPARAT°;CREDIT;9
1937________;Provisions relatives au personnel;Crédit;9
193700000000;PROV.RELATIVES AU PERS.;CREDIT;9
194100000000;PROV. PR PERTES LATENTE/CB;CREDIT;9
194200000000;PROV. RISQ DE NON PERCEPT° LOYER CB;CREDIT;9
2___________;VALEURS IMMOBILISEES;Mixte;9
20__________;FRAIS & VAL. INCORP IMMOB;Mixte;9
201_________;FRAIS IMMOBILISES;Débit;9
2013________;FRAIS ACQUIS.DES IMMOB.;Crédit;9
201310000000;FRAIS D' ACQUISITION DES IMMMOBILISAT°;DEBIT;9
201320000000;ETUDES ARCHITECTURALES;DEBIT;9
2014________;FRAIS EXEPT.A ETALER/EXO;Mixte;9
201410000000;FRAIS EXEPT.A ETALER/EXO;DEBIT;9
202_________;VAL.INCORP.IMMOBILISEES;Mixte;9
20211_______;BREV.LOG.LIC.MAR.PROC. EN COURS;DEBIT;NULL
202110000000;BREV.LOG.LIC.MAR.PROC. EN COURS;DEBIT;9
2023________;BREV.LOG.LIC.MAR.PROC.M.D;Mixte;9
20231_______;BREV.LOG.LIC.MAR.PROC.M.D;MIXTE;NULL
202310000000;BREV.LOG.LIC.MAR.PROC.M.D;DEBIT;9
202310020000;BREV. LOG. LIC. MAR. PROC. M.D BERTOUA;DEBIT;9
202310030000;BREV.LOG.LIC.MAR.PROC.M.D EBWA;DEBIT;9
202310040000;BREV.LOG.LIC.MAR.PROC.M.D GROUA;DEBIT;9
202310050000;BREV.LOG.LIC.MAR.PROC.M.D MROUA;DEBIT;9
202310060000;BREV.LOG.LIC.MAR.PROC.M.D KRIBI;DEBIT;9
202310070000;BREV. LOG. LIC. MAR. PROC. M.D NGDERE;DEBIT;9
202310080000;BREV.LOG.LIC.MAR.PROC.M.D SGMA;DEBIT;9
202310090000;BREV.LOG.LIC.MAR.PROC.M.D YDE;DEBIT;9
202310100000;BREV.LOG.LIC.MAR.PROC.M.D ADMINIS;DEBIT;9
202310110000;BREV.LOG.LIC.MAR.PROC.M.D BDA;DEBIT;9
202310120000;BREV.LOG.LIC.MAR.PROC.M.D.BUEA;DEBIT;9
202310130000;BREV.LOG.LIC.MAR.PROC.M.D DOUALA;DEBIT;9
20241_______;ETUDE & RECHERCHE IMMOBILISABLE;DEBIT;NULL
202410000000;ETUDES ARCHITECTURALES;DEBIT;9
202410090000;ETUDE & RECHERCH IMMO YDE;DEBIT;9
202410130000;ETUDE & RECHER IMMOB DLA;DEBIT;9
202411000000;ETUDES ARCHITECTURALES ENCOUS;DEBIT;9
2025________;AUTRES IMMOB INNCORPOREL;Mixte;9
202500000000;AUTRES IMMOBILISATION INCORPORELLES;DEBIT;9
21__________;TERRAINS;Crédit;9
211_________;TERRAINS EN EXPLOITAT°BANCAIRE;Crédit;9
211100000000;TERRAIN D' EXPLOITAT° YDE;DEBIT;9
211200000000;TERRAIN D' EXPLOITAT° DLA;DEBIT;9
22__________;AUTRES.IMMOB.CORPOR.EN SVCE;Crédit;9
221_________;IMMEUBLES D' EXPLOITATION;Crédit;9
2211________;IMMEUBLES NON RESIDENTIEL;Débit;9
22111_______;IMM.ADM & CCIAUX;DEBIT;NULL
221110000000;IMM.ADM & COMMERCIAUX;DEBIT;9
221110900000;IMM. ADM. & CCIAUX  YDE;DEBIT;9
221111000000;IMM.ADM & CCIAUX ADMINISTRAT° GEN;DEBIT;9
221111300000;IMM.ADM & CCIAUX DOUALA;DEBIT;9
221113000000;IMM. COMMERCIAUX DLA;DEBIT;9
22114_______;AG.AMEN.INST.IMM.CCIAUX;DEBIT;NULL
221140000000;AG.AMEN.INST.IMM.COMMERC.;DEBIT;9
221140200000;AG.AMEN.INST.IMM.CCIAUX BTOA;DEBIT;9
221140300000;AG.AMEN.INST.IMM.CCIAUX EBWA;DEBIT;9
221140400000;AG.AMEN.INST.IMM.CCIAUX GROUA;DEBIT;9
221140500000;AG.AMEN.INST.IMM.CCIAUX MROUA;DEBIT;9
221140600000;AG.AMEN.INST.IMM.CCIAUX KRIBI;DEBIT;9
221140700000;AG.AMEN.INST.IMM.CCIAUX NGDERE;DEBIT;9
221140800000;AG.AMEN.INST.IMM.CCIAUX SANGMA;DEBIT;9
221140900000;AG.AMEN.INST.IMM.CCIAUX YDE;DEBIT;9
221141000000;AG.AMEN.INST.IMM.CCIAUX ADMINIST;DEBIT;9
221141100000;AG.AMEN.INST.IMM.CCIAUX BDA;DEBIT;9
221141200000;AG.AMEN.INST.IMM.CCIAUX BUEA;DEBIT;9
221141300000;AG.AMEN.INST.IMM.CCIAUX DLA;DEBIT;9
221141310000;CONSTRUCT° R+6. EN COURS DLA;DEBIT;9
221141800000;AG.AMEN.INST.IMM.CCIAUX BFSSAM;DEBIT;9
2212________;IMMEUBLES RESIDENTIELS;Débit;9
221240000000;AG.AMEN.INST.HABITATION;DEBIT;9
221240900000;AG.AMEN.INST.HABITATION YDE;DEBIT;9
221241300000;AG.AMEN.INST.HABITATION DLA;DEBIT;9
225_________;MATERIEL & MOB. D' EXPL ;Crédit;9
2255________;MATERIEL DE TRANSPORT ;Débit;9
22551_______;MAT.DE TRANSP.V/LOURD;DEBIT;NULL
225510000000;MAT.DE TRANSP.V/LOURD;DEBIT;9
22553_______;MAT.DE TRANSP. V/LEGER;DEBIT;NULL
225530000000;MAT.DE TRANSP. V/LEGER;DEBIT;9
225530200000;MAT.DE  TRANSP. V/LEGER BTOA;DEBIT;9
225530300000;MAT.DE TRANSP.V/LEGER EBWA;DEBIT;9
225530400000;MAT.DE TRANSP.V/LEGER GROUA;DEBIT;9
225530500000;MAT.DE TRANSP.V/LEGER MROUA;DEBIT;9
225530700000;MAT.DE TRANSP.V/LEGER NGDERE;DEBIT;9
225530800000;MAT.DE TRANSP.V/LEGER SANGMA;DEBIT;9
225530900000;MAT.DE TRANSP.V/LEGER YDE;DEBIT;9
225531000000;MAT.DE TRANSP.V/LEGER ADMINIST;DEBIT;9
225531100000;MAT.DE TRANSP.V/LEGER BDA;DEBIT;9
225531200000;MAT.DE TRANSP.V/LEGER BUEA;DEBIT;9
225531300000;MAT.DE TRANSP.V/LEGER DLA;DEBIT;9
225531800000;MAT.DE TRANSP.V/LEGER BFSSAM;DEBIT;9
2258________;MATERIEL BUREAU & LOGEMT;DEBIT;NULL
225800______;MOBILIER ET MATERIEL;MIXTE;NULL
225800000000;MOBILIER ET MATERIEL ;DEBIT;9
225801______;MOBILIER ET MAT.INFORMATIQ ;DEBIT;NULL
225801000000;MOBILIER ET MATERIEL INFORMATIQUE;DEBIT;9
225801020000;MOBILIER ET MAT.INFORMATIQ BTOA;DEBIT;9
225801030000;MOBILIER ET MAT.INFORMATIQ EBWA;DEBIT;9
225801040000;MOBILIER ET MAT.INFORMATIQ GROUA;DEBIT;9
225801050000;MOBILIER ET MAT.INFORMATIQ MROUA;DEBIT;9
225801060000;MOBILIER ET MAT.INFORMATIQ KRIBI;DEBIT;9
225801070000;MOBILIER ET MAT.INFORMATIQ NGDERE;DEBIT;9
225801080000;MOBILIER ET MAT.INFORMATIQ SANGMA;DEBIT;9
225801090000;MOBILIER ET MAT.INFORMATIQ YDE;DEBIT;9
225801100000;MOBILIER ET MAT.INFORMATIQ ADM;DEBIT;9
225801110000;MOBILIER ET MAT.INFORMATIQ BDA;DEBIT;9
225801120000;MOBILIER ET MAT.INFORMATIQ BUEA;DEBIT;9
225801130000;MOBILIER ET MAT.INFORMATIQ DLA;DEBIT;9
225801180000;MOBILIER ET MAT.INFORMATIQ BFSSAM;DEBIT;9
225801200000;MOBILIER ET MATERIEL ELECTRIQUE;DEBIT;9
225801202000;MOBILIER ET MAT.ELECT. BTOA;DEBIT;9
225801203000;MOBILIER ET MAT.ELECT. EBWA;DEBIT;9
225801204000;MOBILIER ET MAT.ELECT. GROUA;DEBIT;9
225801205000;MOBILIER ET MAT.ELECT. MROUA;DEBIT;9
225801207000;MOBILIER ET MAT.ELECT. NGDERE;DEBIT;9
225801208000;MOBILIER ET MAT.ELECT. SANGMA;DEBIT;9
225801209000;MOBILIER ET MAT.ELECT.YDE;DEBIT;9
225801210000;MOBILIER ET MAT.ELECT. ADM;DEBIT;9
225801211000;MOBILIER ET MAT.ELECT. BDA;DEBIT;9
225801212000;MOBILIER ET MAT.ELECT. BUEA;DEBIT;9
225801213000;MOBILIER ET MAT.ELECT. DLA;DEBIT;9
225801218000;MOBILIER ET MAT.ELECT. BFSSAM;DEBIT;9
225802000000;MOBILIER ET MATERIEL BTOA;DEBIT;9
225803000000;MOBILIER ET MATERIEL EBWA;DEBIT;9
225804000000;MOBILIER ET MATERIEL GROUA;DEBIT;9
225805000000;MOBILIER ET MATERIEL MROUA;DEBIT;9
225806000000;MOBILIER ET MATERIEL KRIBI;DEBIT;9
225807000000;MOBILIER ET MATERIEL NGDERE;DEBIT;9
225808000000;MOBILIER ET MATERIEL SANGMA;DEBIT;9
225809000000;MOBILIER ET MATERIEL YDE;DEBIT;9
225810000000;MOBILIER ET MATERIEL ADMINIST;DEBIT;9
225811000000;MOBILIER ET MATERIEL BDA;DEBIT;9
225812000000;MOBILIER ET MATERIEL BUEA;DEBIT;9
225813000000;MOBILIER ET MATERIEL DLA;DEBIT;9
225818000000;MOBILIER ET MATERIEL BFSSAM;DEBIT;9
225820000000;MACHINES  DE BUREAU;DEBIT;9
22583_______;MOBILIER ET MATERIEL D'HABITATION;DEBIT;NULL
225833000000;MOBILIER ET MATERIEL D'HABITATION;DEBIT;9
225834000000;MOBILIER ET MATERIEL AU PERSONNEL;NULL;9
227_________;MATERIEL ET MOBILIER AFFECTES AU CREDIT BAIL;MIXTE;NULL
227000000000;MAT.&MOB AFFECTE AU CREDIT BAIL;DEBIT;9
227110000000;MATERIEL & MOBILIER AFFECTE AU CREDIT-BAIL;DEBIT;9
227111000000;MAT.&MOB REPLACES;DEBIT;9
227130000000;MAT. & MOB LOUES EN ARRET DE FACTURAT°;DEBIT;9
227140000000;MAT.&MOB LOUES,CONTRAT ECHUS;DEBIT;9
227210000000;MATERIEL ET MOBILIER NON LOUE;DEBIT;9
229_________;AUTRES IMMOB.CORPORELLES;Débit;9
229100000000;AUTRES IMMOB.CORPORELLES;DEBIT;9
23__________;AUTRES IMMO  CORP. EN COURS;DEBIT;9
231_________;IMMEUBLES D'EXPL. EN COURS;MIXTE;NULL
231000000000;IMMEUBLES D'EXPL. EN COURS;DEBIT;9
231020000000;IMMEUB. D'EXPL. EN COURS BTOA;DEBIT;9
231030000000;IMMEUB. D'EXPL. EN COURS EBWA;DEBIT;9
231040000000;IMMEUB. D'EXPL. EN COURS GROUA;DEBIT;9
231050000000;IMMEUB. D'EXPL. EN COURS MROUA;DEBIT;9
231060000000;IMMEUB. D'EXPL. EN COURS KRIBI;DEBIT;9
231070000000;IMMEUB. D'EXPL. EN COURS NGDERE;DEBIT;9
231080000000;IMMEUB. D'EXPL. EN COURS SANGMA;DEBIT;9
231090000000;IMMEUB. D'EXPL. EN COURS YDE;DEBIT;9
231100000000;IMMEUB. D'EXPL. EN COURS ADMINIST;DEBIT;9
231110000000;IMMEUB. D'EXPL. EN COURS BDA;DEBIT;9
231120000000;IMMEUB. D'EXPL. EN COURS BUEA;DEBIT;9
231130000000;IMMEUB. D'EXPL. EN COURS DLA;DEBIT;9
231130100000;CONSTRUCT° R+6. EN COURS DLA;DEBIT;9
231180000000;IMMEUB. D'EXPL. EN COURS BFSSAM;DEBIT;9
231200000000;AMENAGEMT EN COURS R+6 DLA;DEBIT;9
237_________;MATERIEL DESTINE AU CREDIT BAIL;MIXTE;NULL
237000000000;MATERIEL CB EN COUR DE LOCATION;DEBIT;9
241000000000;AVCE ET ACPTE/IMMEUBLE D'EXPLOITAT°;DEBIT;9
25__________;DEPOTS ET CAUTIONNEMENTS;Débit;9
251_________;DEPOTS & CAUTIONNEMTS VER;Débit;9
251100000000;DEPOTS& CAUTIONNEMTS VERSES ;DEBIT;9
26__________;TITRES PARTICIPAT°& AUTRES TITRES IMMOB.;Débit;9
262_________;ACT°& PARTS D' ETABLISSEMTS DE CREDIT;Débit;9
262100000000;ACT° & PART D' ETABLISSEMENT DE CREDIT;DEBIT;9
263_________;AUTRES TITRES DE PARTICIPATIONS;MIXTE;NULL
263100000000;AUTRES TITRES DE PARTICIPATIONS;DEBIT;9
265_________;TITRE D'INVESTISSEMENT;MIXTE;NULL
265110000000;TITRE D'INVEST. PRIVE ADMI EN GARANTIE DE REF.BEAC;DEBIT;9
265120000000;AUTRES TITRES D'INVESTISSEMENT PRIVES;DEBIT;9
265210000000;TITRE D'INVEST.PUBLICS ADMI EN GARANTI DE REF.BEAC;DEBIT;9
265220000000;AUTRES TITRES D'INVESTISSEMENT PUBLICS;DEBIT;9
268_________;CREANCES RATTACHEES;Débit;9
268100000000;CREANCES RATTACHEES;DEBIT;9
28__________;AMORTISSEMENTS;Mixte;9
280_________;AMORT FRAIS & VAL.INCORP.IMMOB.;Débit;9
2801________;Frais  immobilisés;Débit;9
280100000000;AMORT FRAIS IMMOBILISES;CREDIT;9
2802________;Immobilisations incorporelles;Débit;9
280200000000;AMORT IMMOB. INCORPOREL;CREDIT;9
28023_______;Amort.des brevets,logiciels,licences,mar;Débit;9
280230000000;AMORT BREVET-LOG-MARQUE;CREDIT;9
280240000000;AMORT ETUDE & RECHERCHE;CREDIT;9
280300000000;AMORT BREV.LOG.LIC.MARQ.P;CREDIT;9
282_________;AMORT. IMMOB. CORPORELLES;Crédit;9
282100000000;AMORT IMMOB CORPORELLES;CREDIT;9
28211_______;AMORT IMMEUB..NON RESID. ;Crédit;9
282111000000;AMORT IMMEUBLES D' EXPLOI;CREDIT;9
282111090000;AMORT.IMMEUB. D'EXPL YDE;CREDIT;9
282111100000;AMORT. EMMEUB. D'EXPL ADM;CREDIT;9
282111130000;AMORT. EMMEUB. D'EXPL DLA;CREDIT;9
282114000000;AMORT AG.AMEN.INST.IMM.C ;CREDIT;9
282114020000;AMORT AG.AMEN.INST IMM. COM BTOA;CREDIT;9
282114030000;AMORT AG.AMEN.INST IMM. COM EBWA;CREDIT;9
282114040000;AMORT AG.AMEN.INST IMM. COM GROUA;CREDIT;9
282114050000;AMORT AG.AMEN.INST IMM. COM MROUA;CREDIT;9
282114060000;AMORT. AG. AMEN. INST. IMM. COM. KRIBI;CREDIT;9
282114070000;AMORT AG.AMEN.INST IMM. COM NGDERE;CREDIT;9
282114080000;AMORT AG.AMEN.INST IMM. COM SANGMA;CREDIT;9
282114090000;AMORT AG.AMEN.INST IMM. COM YDE;CREDIT;9
282114100000;AMORT AG.AMEN.INST IMM. COM ADM;CREDIT;9
282114110000;AMORT AG.AMEN.INST IMM. COM BDA;CREDIT;9
282114120000;AMORT AG.AMEN.INST IMM. COM BUEA;CREDIT;9
282114130000;AMORT AG.AMEN.INST IMM. COM DLA;CREDIT;9
282114180000;AMORT AG.AMEN.INST IMM. COM BFSSAM;CREDIT;9
28212_______;AMORT IMMEUBLES RESIDENT.;Crédit;9
282124000000;AMORT AG.AMEN.INST.IMM.H;CREDIT;9
2825________;AMORT MAT.& MOB.D'EXPLOIT;Crédit;9
28255_______;AMORT MATERIEL DE TRANSP;Crédit;9
282551000000;AMORT MAT.TRANSP. V/LOURD;CREDIT;9
282553000000;AMORT MAT.TRANSP.V/LEGER;CREDIT;9
282553020000;AMORT MAT.TRANSP.V/LEGER BTOA;CREDIT;9
282553030000;AMORT MAT.TRANSP.V/LEGER EBWA;CREDIT;9
282553040000;AMORT MAT.TRANSP.V/LEGER GROUA;CREDIT;9
282553050000;AMORT MAT.TRANSP.V/LEGER MROUA;CREDIT;9
282553070000;AMORT MAT.TRANSP.V/LEGER NGDERE;CREDIT;9
282553080000;AMORT MAT.TRANSP.V/LEGER SANGMA;CREDIT;9
282553090000;AMORT MAT.TRANSP.V/LEGER YDE;CREDIT;9
282553100000;AMORT MAT.TRANSP.V/LEGER ADM;CREDIT;9
282553110000;AMORT MAT.TRANSP.V/LEGER BDA;CREDIT;9
282553120000;AMORT MAT.TRANSP.V/LEGER BUEA;CREDIT;9
282553130000;AMORT MAT.TRANSP.V/LEGER DLA;CREDIT;9
282553180000;AMORT MAT.TRANSP.V/LEGER BFSSAM;CREDIT;9
28258_______;AMORT MAT.BUREAU & LOGEMT;Crédit;9
282580102000;AMORT. MAT. INFORMATIQUE BERTOUA;CREDIT;9
282580103000;AMORT. MAT. INFORMATIQUE EBOLOWA;CREDIT;9
282580104000;AMORT. MAT. INFORMATIQUE GROUA;CREDIT;9
282580105000;AMORT. MAT. INFORMATIQUE MROUA;CREDIT;9
282580106000;AMORT. MAT. INFORMATIQUE KRIBI;CREDIT;9
282580107000;AMORT. MAT. INFORMATIQUE NGDERE;CREDIT;9
282580108000;AMORT. MAT. INFORMATIQUE SANGMELIMA;CREDIT;9
282580109000;AMORT. MAT. INFORMATIQUE YAOUNDE;CREDIT;9
282580110000;AMORT. MAT. INFORMATIQUE ADMINIST;CREDIT;9
282580111000;AMORT. MAT. INFORMATIQUE BAMENDA;CREDIT;9
282580112000;AMORT. MAT. INFORMATIQUE BUEA;CREDIT;9
282580113000;AMORT. MAT. INFORMATIQUE DOUALA;CREDIT;9
282580118000;AMORT. MAT. INFORMATIQUE BAFOUSSAM;CREDIT;9
282581000000;AMORT MOB.DE BUREAU;CREDIT;9
282581020000;AMORT MOB. DE BUREAU BTOA;CREDIT;9
282581030000;AMORT MOB. DE BUREAU EBWA;CREDIT;9
282581040000;AMORT MOB. DE BUREAU GROUA;CREDIT;9
282581050000;AMORT MOB. DE BUREAU MROUA;CREDIT;9
282581060000;AMORT. MOB. DE BUREAU KRIBI;CREDIT;9
282581070000;AMORT MOB. DE BUREAU NGDERE;CREDIT;9
282581080000;AMORT MOB. DE BUREAU SANGMA;CREDIT;9
282581090000;AMORT MOB. DE BUREAU YDE;CREDIT;9
282581100000;AMORT MOB. DE BUREAU ADMINIST;CREDIT;9
282581110000;AMORT MOB. DE BUREAU BDA;CREDIT;9
282581120000;AMORT MOB. DE BUREAU BUEA;CREDIT;9
282581130000;AMORT MOB. DE BUREAU DLA;CREDIT;9
282581180000;AMORT MOB. DE BUREAU BAFSSAM;CREDIT;9
282582000000;AMORT MACHINES DE BUREAU;CREDIT;9
282583000000;AMORT MOBILIER HABITATION;CREDIT;9
2827________;AMORT MAT.&MOB LOUES;MIXTE;NULL
282710000000;AMORT MAT.&MOB EN CREDIT BAIL OU LOA;CREDIT;9
282711000000;AMORT MAT.&MOB RESILIE;CREDIT;9
282711100000;AMORT.MAT&MOB REPLACES;CREDIT;9
282713000000;AMORT/IMMOB CB ARRET FACTURAT°;CREDIT;9
282720000000;AMORT MAT.&MOB NON LOUES;CREDIT;9
2829________;AMORT.AUT.IMMOB CORPORELS;Crédit;9
282910000000;AMORT AUTRES IMMOB CORPOR;CREDIT;9
29__________;PROV/DEPREC. CPTES V.IMMO;Crédit;9
290_________;PROV FRAIS & VAL.INC.IMMO;Crédit;9
2901________;PROV FRAIS IMMOBILISES;Crédit;9
290110000000; FRAIS IMMOBILISEES;CREDIT;9
2902________;PROV IMMOB INCORPORELLES;Crédit;9
290210000000;PROV IMMOB.INCORPORELLES;CREDIT;9
292_________;IMMOBILISATION CORPORELLE;Crédit;9
2921________;IMMEUBLES D' EXPLOITATION;Crédit;9
292110000000;IMMEUBLES D'EXPLOITATION;CREDIT;9
292700000000;PROVISION MAT EN CREDIT BAIL;CREDIT;9
3___________;OPERAT. AVEC LA CLIENTELE;Mixte;9
30__________;CREDIT A LONG TERME;DEBIT;NULL
301000000000;CREDIT A L'INVESTISSEMENT IMMOBILIER;DEBIT;9
301100000000;C.L.T SAINS A L'INVEST. IMMOB;DEBIT;9
301200000000;C.LT. SAINS A L'HABITAT;DEBIT;9
301300000000;C.L.T SAINS A L'EQUIP.;DEBIT;9
301500000000;C.L.T SAINS A LA CONSO.;DEBIT;9
301710000000;C.L.T SAINS NON VENT. REECHEL.;DEBIT;9
301720000000;C.L.T SAINS NON VENT. RESTRUCT.;DEBIT;9
301730000000;AUT. C.L.T SAINS NON VENT. CONSOL.;DEBIT;9
302000000000;CREDIT A L'HABITAT;DEBIT;9
302100000000;C.L.T SENSIB A L'INVEST. IMMOB;DEBIT;9
302200000000;C.L.T SENSIB. A L'HABITAT;DEBIT;9
302300000000;C.L.T SENSIB. A L'EQUIPEMENT;DEBIT;9
302500000000;C.L.T SENSIB. A LA CONSO.;DEBIT;9
302710000000;C.L.T SENSIB. NON. VENT. REECHEL.;DEBIT;9
302720000000;C.L.T SENSIB. NON VENT. RESTRUCT.;DEBIT;9
302730000000;AUT. C.L.T SENSIB. NON VENT. CONSOL.;DEBIT;9
303000000000;CREDIT A L'EQUIPEMENT;DEBIT;9
31__________;Crédits à M.T.;NULL;9
311100010000;CREDIT A L'INVEST. IMMOB. M.T SAINS>2ANS<OU= 3ANS;DEBIT;9
311100020000;CREDIT A L'INVEST.  IMMOB. M.T SAINS>3ANS<OU= 4 AN;DEBIT;9
311100030000;CREDIT A L'INVEST.  IMMOB. M.T SAINS>4 ANS<OU= 5 A;DEBIT;9
311100040000;CREDIT A L'INVEST.  IMMOB. M.T SAINS> 5ANS< 10 ANS;DEBIT;9
311200010000;CREDIT A L'HABITAT M.T SAINS>2ANS<OU= 3ANS;DEBIT;9
